nombre_entidad;tipo
ASOCIACIÓN MUTUALISTA DEL CLUB CENTRAL SAN CARLOS;RETAIL
AVALON CREDITOS PERSONALES S.A.;RETAIL
Bankar Digital S.A.;RETAIL
Caja Municipal de Préstamos Sociedad de Economía Mixta;RETAIL
CAJA MUNICIPAL DE PRESTAMOS Y SERVICIOS DE SANTIAGO DEL ESTERO;RETAIL
CAJA POPULAR DE AHORROS PCIA DE TUCUMAN;RETAIL
CASTILLO S.A.C.I.F.I.A.;RETAIL
CENCOSUD S A;RETAIL
CENTRO CARD S.A.;RETAIL
CLEMAR DOMINGO ROSSO;RETAIL
CLUB ATLETICO AERONAUTICO BIBLIOTECA Y MUTUAL SARMIENTO;RETAIL
CLUB ATLÉTICO SAN JORGE MUTUAL Y SOCIAL;RETAIL
Club Atletico Social Corralense A.M.;RETAIL
CMR Falabella S.A.;RETAIL
CODEANA S.A.S.;RETAIL
COMPRE CHACABUCO S.A.;RETAIL
CONTAR S.A.;RETAIL
COOP SERV ADM VTAS CRED Y CRED GUIA LTDA;RETAIL
COOPERATIVA DE PROVISION DE BIENES Y SERVICIOS ALLEN LTDA;RETAIL
Cooperativa de Provision de Servicios de Administracion de Ventas a Credito Tandil Ltda.;RETAIL
COOPERATIVA FARO LTDA;RETAIL
Cooperativa Integral San José Ltda.;RETAIL
Corfa Servi S.R.L.;RETAIL
COTO CENTRO INTEGRAL DE COMERCIALIZAC SA;RETAIL
Credi Si SRL;RETAIL
CREDI-PAZ S.A.;RETAIL
Credife S.A.;RETAIL
CREDIFIAR S.A.;RETAIL
Credimaga S.A.;RETAIL
CREDIMAS S.A.;RETAIL
CREDIMAZ S.R.L.;RETAIL
Credinos Cooperativa de Vivienda, Crédito, Consumo, Servicios Asistenciales y de Turismo Ltda.;RETAIL
CREDISOL S.A.;RETAIL
Crédito Móvil S.A.;RETAIL
CUATRO RIOS S.A.;RETAIL
CUMAR SA;RETAIL
DATA 2000 S.A.;RETAIL
DILFER S.A.;RETAIL
Dock Argentina SA;RETAIL
EMCO San Luis S.A.;RETAIL
EMPRENDER S.A.;RETAIL
EMPRESUR S.A.;RETAIL
EUROCRED S.A.;RETAIL
FAVACARD S.A;RETAIL
FERTIL FINANZAS S.A.;RETAIL
FIDEN S.A.;RETAIL
FINANROL SA;RETAIL
Findi S.A.;RETAIL
FIRENZE COOPERATIVA DE CRÉDITO, CONSUMO, VIVIENDA, TURISMO Y SERVICIOS ASISTENCIALES LIMITADA;RETAIL
GARPA S. A.;RETAIL
Global Collection Services S.A.;RETAIL
GLOBAL S.R.L.;RETAIL
GRUPO CTALAMOCHITA S.A.;RETAIL
GRUPO SUIPACHA SRL;RETAIL
IPLyC MP Hogar Consorcio de Cooperación;RETAIL
ITALCRED S.A.;RETAIL
JUCARD JUNIN S.R.L.;RETAIL
Kulipa S.R.L;RETAIL
KURUPAY SA;RETAIL
LB FINANZAS S.A.;RETAIL
LIDERAR CARD S.A.;RETAIL
Linbel S.A.;RETAIL
LOCRED SRL;RETAIL
MERCADOLIBRE S.R.L.;RETAIL
MOBBEX ARGENTINA SRL;RETAIL
MUTUAL COYSPU;RETAIL
MUTUAL DE ASOC Y ADHER CLUB SPORTS SALTO;RETAIL
MUTUAL DE DOCENTES DE NEUQUEN;RETAIL
Mutual de la Federación de Comercio e Industria de San Nicolás;RETAIL
MUTUAL DE LAS COMUNIDADES;RETAIL
Mutual de Residentes del Barrio Tais;RETAIL
MUTUAL ENTRE ASOC COOPER MUTUAL PATRONAL;RETAIL
MUTUAL SOCIOS ASOC MEDIC ROSARIO;RETAIL
N&CO PAY CREDIT SERVICIOS FINANCIEROS S.A.;RETAIL
Nexo Emprendimientos S.A.;RETAIL
NOA CARD S.A.;RETAIL
NORYSUR SOCIEDAD ANONIMA;RETAIL
NUEVA CARD S.A.;RETAIL
Pago Virtual del Sur S.A.;RETAIL
Pago Virtual del Sur S.A.;RETAIL
PAYAGTK SA;RETAIL
PRESTAMAS S.A.;RETAIL
Propay SRL;RETAIL
RESIMPLE S.A.;RETAIL
S.A. CLUB DEL ESTE;RETAIL
S.G. FINANCIAL TECHNOLOGY S.A.;RETAIL
San Cristóbal Caja Mutual entre Asociados de San Cristobal SMSG;RETAIL
SANTA MONICA SA;RETAIL
SERVICIOS FECESCOR S.A;RETAIL
SILOHUB ARGENTINA S.A.S.;RETAIL
SISCOM S.R.L.;RETAIL
SISTEMA DE CREDITO DE ENTRE RIOS S.A.;RETAIL
Siwal S.A.;RETAIL
SOCIEDAD ARG DE SOCORROS MUTUO CORONDA;RETAIL
SUPRESTAMO SAS;RETAIL
TALOR SOCIEDAD COLECTIVA;RETAIL
TARJETA GRUPAR S.A.;RETAIL
TARJETA NARANJA S.A.;RETAIL
